Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
HVN,4/6/2020,20.60,501900.00,0.0674,-0.4449,-0.1743,-0.2759,-0.4309,-0.5308,-0.6396,1.00,1.00,0.00,1.0000,0.0000,0.0246,-0.3842,0.0000,-0.0406,-0.4343,0,0,37.98,0.00,1,1,17.39,21.47,15.65,36.41,22.01,21.15,20.45,19.75,18.76,20.10,29.14,33.45,3,
HSG,4/6/2020,5.41,1135470.00,0.0404,-0.7119,-0.2882,-0.3513,-0.3976,-0.3976,-0.7921,0.00,0.00,0.00,1.0000,0.0000,-0.0429,-0.2602,0.0000,-0.1566,-0.4503,0,0,30.31,0.00,1,1,4.31,6.41,4.63,9.84,6.61,6.18,5.83,5.48,4.99,5.65,7.55,7.31,0,
HPG,4/6/2020,18.25,1719880.00,0.0340,-0.8200,-0.1853,-0.2758,-0.3061,-0.3061,-0.5020,0.00,0.00,0.00,1.0000,0.0000,-0.0103,-0.1830,0.0000,-0.0864,-0.3502,0,0,42.09,0.73,1,1,15.68,19.98,15.89,28.09,20.25,19.30,18.52,17.75,16.65,18.44,22.51,22.34,0,
HT1,4/6/2020,11.15,5750.00,0.0569,-0.9333,-0.2007,-0.2415,-0.2830,-0.2903,-0.6565,0.00,0.00,0.00,1.0000,0.0000,-0.0388,-0.2211,0.0000,-0.1166,-0.3304,0,0,25.71,0.00,1,1,9.75,12.62,10.33,16.65,12.91,12.32,11.85,11.38,10.71,11.60,14.07,14.32,0,
GMD,4/6/2020,15.95,64090.00,0.0493,-0.8381,-0.1627,-0.2200,-0.3745,-0.4175,-0.7419,0.00,0.00,0.00,1.0000,0.0000,-0.0142,-0.3128,1.0000,-0.0688,-0.3271,0,0,22.04,0.00,1,1,14.57,17.13,14.07,23.70,17.54,16.88,16.35,15.82,15.06,16.18,20.83,23.21,4,
IDI,4/6/2020,3.31,170640.00,0.0677,-0.8035,-0.2661,-0.2693,-0.3938,-0.4608,-0.6980,0.00,0.00,0.00,1.0000,0.0000,-0.0784,-0.3502,0.0000,-0.2031,-0.4002,0,0,18.83,0.00,1,1,2.75,4.15,2.99,5.52,3.92,3.69,3.50,3.31,3.04,3.59,4.63,5.09,0,/ndoji_standard
LDG,4/6/2020,4.76,970560.00,0.0697,-0.6992,-0.3101,-0.3267,-0.5531,-0.5932,-0.7330,0.00,0.00,0.00,1.0000,0.0000,-0.1432,-0.4361,0.0000,-0.2979,-0.4645,0,0,12.19,1.40,1,1,3.77,6.78,4.17,8.89,5.99,5.58,5.26,4.93,4.46,5.56,7.51,8.44,0,
KBC,4/6/2020,11.90,110200.00,0.0085,-0.9432,-0.1905,-0.2067,-0.2722,-0.2722,-0.8942,1.00,1.00,0.00,1.0000,0.0000,0.0115,-0.1803,1.0000,-0.0338,-0.3048,0,1,72.11,3.30,1,1,10.32,12.32,10.60,17.12,13.36,12.72,12.20,11.68,10.94,11.77,14.35,14.52,0,
KSB,4/6/2020,13.80,128540.00,0.0534,-0.8611,-0.3202,-0.3333,-0.3333,-0.4458,-0.7261,0.00,0.00,0.00,1.0000,0.0000,-0.0428,-0.2863,0.0000,-0.1270,-0.3316,0,0,25.13,0.00,1,1,11.23,15.81,11.73,20.65,17.50,16.32,15.38,14.43,13.07,14.42,16.64,19.34,0,
KDH,4/6/2020,18.70,61280.00,0.0219,-0.7912,-0.2367,-0.2609,-0.3125,-0.3125,-0.3732,0.00,0.00,0.00,0.0000,0.0000,-0.0756,-0.2363,4.0000,-0.1240,-0.3517,0,0,4.03,0.00,1,1,17.63,21.35,17.72,28.85,22.62,21.64,20.85,20.06,18.93,20.23,24.71,24.49,0,
