Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
DCM,4/1/2020,5.55,246240.00,0.0452,-0.5538,-0.1134,-0.1148,-0.2376,-0.2912,-0.5498,0.00,0.00,0.00,1.0000,1.0000,-0.0242,-0.1867,2.0000,-0.0734,-0.1635,0,0,23.49,13.35,0,1,5.20,5.99,5.33,6.63,6.05,5.87,5.72,5.57,5.36,5.69,6.29,6.82,5,
DIG,4/1/2020,10.70,2103820.00,0.0338,0.2370,-0.2132,-0.2132,-0.2357,-0.2914,-0.7035,0.00,0.00,0.00,0.0000,0.0000,-0.0768,-0.1867,2.0000,-0.1129,-0.2580,1,0,2.84,3.89,0,1,10.24,12.06,10.54,14.42,12.86,12.28,11.81,11.34,10.67,11.59,12.81,13.16,5,
DXG,4/1/2020,7.77,2405020.00,0.0026,-0.0199,-0.4328,-0.4328,-0.5233,-0.5547,-0.7194,0.00,0.00,0.00,0.0000,0.0000,-0.2620,-0.4487,0.0000,-0.3554,-0.5063,1,0,0.00,0.00,0,1,7.53,12.05,8.45,15.74,12.17,11.22,10.45,9.69,8.60,10.53,13.03,14.09,0,
FTS,4/1/2020,10.20,19910.00,0.0099,-0.7868,-0.2500,-0.2500,-0.2500,-0.2609,-0.4007,0.00,0.00,0.00,0.0000,1.0000,-0.1407,-0.1689,0.0000,-0.2339,-0.2597,0,0,2.86,36.76,0,1,9.67,13.32,10.22,13.78,12.95,12.27,11.73,11.18,10.40,11.87,12.06,12.27,0,
DHA,4/1/2020,27.30,46010.00,-0.0667,8.2469,-0.1587,-0.1600,-0.1677,-0.2232,-0.2232,0.00,0.00,0.00,1.0000,0.0000,-0.0800,-0.1303,0.0000,-0.1078,-0.2029,0,0,27.41,0.00,0,1,27.23,30.60,27.40,34.25,31.21,30.44,29.83,29.21,28.32,29.67,31.01,31.39,0,
DHG,4/1/2020,79.00,21450.00,0.0000,-0.4750,-0.1684,-0.2300,-0.2300,-0.2718,-0.3506,0.00,0.00,0.00,1.0000,0.0000,-0.0447,-0.1601,5.0000,-0.0788,-0.2362,0,0,38.36,0.00,0,1,73.91,85.76,76.82,103.43,90.05,86.68,83.95,81.22,77.34,82.70,91.71,94.06,0,
FCN,4/1/2020,7.26,620370.00,0.0692,-0.0066,-0.2382,-0.2951,-0.4000,-0.4907,-0.6477,0.00,0.00,0.00,1.0000,0.0000,-0.0437,-0.3477,0.0000,-0.0534,-0.3688,0,0,13.48,0.00,0,1,6.64,7.67,6.77,11.50,8.84,8.39,8.03,7.67,7.15,7.59,9.60,11.13,5,
FMC,4/1/2020,16.40,42650.00,0.0282,-0.5749,-0.2961,-0.3716,-0.3846,-0.4191,-0.4224,0.00,0.00,0.00,0.0000,0.0000,-0.1523,-0.3440,2.0000,-0.2254,-0.4520,1,0,0.13,0.00,0,1,15.55,21.17,16.60,29.93,21.39,20.21,19.25,18.29,16.93,19.35,24.17,25.00,0,
EIB,4/1/2020,15.20,532880.00,0.0375,0.5271,-0.1314,-0.1532,-0.1936,-0.1936,-0.1936,0.00,0.00,0.00,0.0000,0.0000,-0.0590,-0.1204,1.0000,-0.0969,-0.1826,0,0,1.18,0.00,0,1,14.88,16.83,15.41,18.59,16.83,16.29,15.85,15.41,14.79,16.15,17.19,17.28,5,Piercing_pattern
DPM,4/1/2020,12.25,1259170.00,0.0699,0.4259,-0.0392,-0.0392,-0.1373,-0.2598,-0.7092,2.00,1.00,0.00,1.0000,1.0000,0.0484,-0.0883,5.0000,0.0043,-0.0737,4,0,68.29,7.88,1,1,10.88,12.20,11.14,13.22,12.39,12.01,11.70,11.39,10.96,11.69,12.56,13.44,2,
GAS,4/1/2020,56.10,577930.00,0.0237,-0.1454,-0.2817,-0.4089,-0.4829,-0.4830,-0.5513,0.00,0.00,0.00,1.0000,0.0000,-0.0798,-0.4085,2.0000,-0.0836,-0.4924,0,0,12.77,0.00,0,1,53.36,61.22,50.10,110.53,73.84,70.03,66.95,63.87,59.49,60.97,87.66,94.84,0,
HDB,4/1/2020,18.95,752190.00,0.0646,-0.5986,-0.3268,-0.3673,-0.3673,-0.3673,-0.6208,0.00,0.00,0.00,1.0000,0.0000,-0.1274,-0.2906,1.0000,-0.1933,-0.4335,0,0,8.07,0.00,0,1,16.78,23.49,18.69,33.45,25.69,23.86,22.38,20.89,18.79,21.72,26.68,26.71,5,
FPT,4/1/2020,42.30,1453030.00,0.0292,-0.3466,-0.2378,-0.2513,-0.3066,-0.3066,-0.3066,0.00,0.00,0.00,1.0000,0.0000,-0.1034,-0.2060,2.0000,-0.1692,-0.3256,0,0,8.60,0.00,1,1,40.04,50.91,42.83,62.72,52.17,49.86,48.00,46.14,43.48,47.18,54.39,53.28,0,
HBC,4/1/2020,6.40,3910300.00,0.0631,0.2580,-0.4047,-0.4530,-0.4980,-0.5937,-0.8367,0.00,0.00,0.00,1.0000,0.0000,-0.2012,-0.4803,2.0000,-0.2748,-0.5262,0,0,2.24,0.00,0,1,5.85,8.83,6.50,13.51,9.85,9.08,8.45,7.83,6.94,8.01,10.51,12.31,0,
GIL,4/1/2020,15.30,11330.00,0.0373,-0.8204,-0.2093,-0.2998,-0.2998,-0.4396,-0.5988,0.00,0.00,0.00,1.0000,0.0000,-0.0815,-0.2575,1.0000,-0.1277,-0.2753,0,0,8.89,0.25,0,1,14.79,17.54,14.36,21.11,18.26,17.55,16.98,16.40,15.59,16.66,18.10,20.61,0,
HCM,4/1/2020,11.90,1466530.00,0.0673,-0.0154,-0.3444,-0.4640,-0.5281,-0.5281,-0.7108,0.00,0.00,0.00,1.0000,0.0000,-0.1508,-0.4304,2.0000,-0.2035,-0.5194,0,0,4.05,0.00,0,1,11.13,14.94,11.37,24.76,16.76,15.62,14.70,13.78,12.47,14.01,19.76,20.89,0,
HVN,4/1/2020,18.50,1344060.00,0.0393,0.3162,-0.2829,-0.4360,-0.4925,-0.5786,-0.6763,0.00,0.00,0.00,0.0000,0.0000,-0.1040,-0.4507,2.0000,-0.1501,-0.5088,0,0,3.20,0.00,0,1,17.35,21.77,16.07,37.67,23.92,22.69,21.70,20.71,19.30,20.65,29.46,33.68,0,
HDG,4/1/2020,16.95,174430.00,0.0335,-0.6665,-0.3616,-0.4331,-0.5118,-0.5308,-0.5308,0.00,0.00,0.00,0.0000,0.0000,-0.1522,-0.4548,2.0000,-0.2005,-0.5219,0,0,4.36,0.00,1,1,15.59,21.20,16.46,35.45,24.33,22.74,21.45,20.16,18.33,19.99,28.21,31.09,0,
HSG,4/1/2020,4.86,4001500.00,0.0681,0.0347,-0.3688,-0.4588,-0.4588,-0.4588,-0.8132,0.00,0.00,0.00,1.0000,0.0000,-0.1745,-0.3376,2.0000,-0.2625,-0.5087,0,0,3.23,0.00,0,1,4.32,6.59,4.86,9.89,7.02,6.51,6.10,5.69,5.10,5.89,7.59,7.34,0,
HPG,4/1/2020,17.25,4859650.00,0.0237,-0.4845,-0.2299,-0.3441,-0.3441,-0.3441,-0.5293,0.00,0.00,0.00,1.0000,0.0000,-0.0865,-0.2297,1.0000,-0.1506,-0.3883,0,0,12.22,0.00,1,1,15.67,20.31,16.43,28.20,20.90,19.82,18.95,18.08,16.83,18.88,22.60,22.39,5,
GMD,4/1/2020,14.95,225870.00,0.0000,-0.4356,-0.2214,-0.3063,-0.4228,-0.4540,-0.7581,0.00,0.00,0.00,0.0000,0.0000,-0.0959,-0.3583,2.0000,-0.1305,-0.3894,0,0,2.42,0.00,0,1,14.66,17.19,14.26,24.49,18.15,17.38,16.75,16.12,15.23,16.53,21.02,23.30,0,
HT1,4/1/2020,10.60,81760.00,0.0600,-0.1280,-0.2482,-0.2886,-0.3183,-0.3253,-0.6735,0.00,0.00,0.00,0.0000,0.0000,-0.1091,-0.2615,2.0000,-0.1873,-0.3645,0,0,3.57,0.00,0,1,9.77,13.04,10.79,16.68,13.33,12.66,12.13,11.59,10.82,11.90,14.16,14.35,0,
